expo,exhibitorId,name,externalId,email,phone,website,logo,address,description,country,city,boothIds,boothNames,categoryIds,categoryNames
team26,14263380,55 Degrees AB,55 Degrees AB,,,,exhibitors/14263380/media/55-degrees-ab.webp,,"55 Degrees helps teams replace guesswork with clarity.

Our products, ActionableAgile® Analytics and Portfolio Forecaster, turn delivery data into practical insights so teams can predict delivery timelines with confidence, communicate clearly, and make informed decisions. 

Curious how teams use this in practice? Come talk to us at Team'26.",,,7483685,343,10701749,Select
team26,14263381,ACCELQ,ACCELQ,,,,exhibitors/14263381/media/accelq.webp,,"ACCELQ offers AI-powered No-Code test automation and management built on a cloud-native platform. ACCELQ provides a unified platform for web, mobile, API, database, and packaged apps. Automation-first, codeless capabilities make it easy to use for testing teams without deep programming expertise. ACCELQ allows businesses to achieve 7.5x productivity and over 72% savings with its industry-first autonomics-based automation platform.",,,7483687,333,10701749,Select
team26,14263382,Accenture,Accenture,,,,exhibitors/14263382/media/accenture.webp,,"Accenture is a leading solutions and services company that helps the world’s leading enterprises reinvent by building their digital core and unleashing the power of AI to create value at speed across the enterprise, bringing together the talent of our approximately 784,000 people, our proprietary assets and platforms, and deep ecosystem relationships. Our strategy is to be the reinvention partner of choice for our clients and to be the most client-focused, AI-enabled, great place to work in the world. Through our Reinvention Services we bring together our capabilities across strategy, consulting, technology, operations, Song and Industry X with our deep industry expertise to create and deliver solutions and services for our clients. Our purpose is to deliver on the promise of technology and human ingenuity, and we measure our success by the 360° value we create for all our stakeholders.",,,7483784,226,10701753,Title
team26,14263383,ActivityTimeline by Reliex,ActivityTimeline by Reliex,,,,exhibitors/14263383/media/activitytimeline-by-reliex.webp,,"ActivityTimeline by Reliex
ActivityTimeline is a comprehensive resource planning and time tracking application built for Jira. We provide apps that extend the capabilities of Jira, helping teams visualize project timelines, manage resources effectively, and track time with precision.
What We Offer:
As Gold Atlassian Marketplace Partner, we deliver powerful solutions that enhance Jira's native functionality. Our flagship app enables organizations to transform their project management approach through integrated capacity planning, resource scheduling, and advanced reporting capabilities.
Key Capabilities:
Resource planning and capacity management within JiraIndividual and team-level time trackingCustomizable timesheet reports and resource utilization analyticsTeam scheduling with workload indicatorsSkills-based resource allocationForecasting and planning tools
Our Commitment:
With over 5,000 teams worldwide trusting our solutions — we are dedicated to customer success and continuous innovation. ActivityTimeline is Cloud Fortified, SOC 2 certified, and ISO 27001:2022 certified, ensuring your data remains secure and protected.
We specialize in helping teams gain full visibility into who is doing what and when work will be completed, empowering better decision-making and more efficient project delivery.",,,7493150,201,10701750,Showcase
team26,14263384,"Adaptavist, part of The Adaptavist Group",Adaptavist,,,,exhibitors/14263384/media/adaptavist-part-of-the-adaptavist-group.webp,,"Adaptavist is a global technology and innovative solutions provider founded in 2005, helping organisations boost agility and overcome the challenges of digital transformation.
As a Platinum Atlassian Solution Partner, and a trusted strategic partner of AWS, GitLab, monday.com, and more, Adaptavist offers expert, end-to-end consultancy across cloud—including our strategic Atlassian Cloud transformation solution FastShift Complete, DevOps, service management, work management, agile, and more, incorporating world-leading training, managed services, and licensing solutions.
Adaptavist is part of The Adaptavist Group, whose global team exceeds 1,000 people, proudly counting more than half of the Fortune 500 among its 22,000+ customers.
The Adaptavist Group is a family of companies with one common goal: to make business work better. We combine the best talent, technology, and processes to make it easier for our customers to excel–today and tomorrow.",,,7483772,108,10701751,Signature
team26,14218783,Administration,Administration,,,,,,"Visit the Administration booth to see how centralized mission control for Atlassian Cloud gives you full visibility and the right controls to manage and scale your organization. From one intuitive hub, explore how to manage users and access, secure data, and orchestrate change across apps and sites—and how this reduces manual work, lowers risk, and aligns your Atlassian investments to your business goals.",,,7517333,Atlassian Platform,,
team26,14169671,Advisory Services,Advisory Services,,,,,,Got a challenge keeping you up at night? Our Advisory Services experts have seen it before - and solved it. Bring your challenge and leave with proven solutions you can actually take back to your team.,,,7483674,401,,
team26,14218802,Align,Align,,,,,,"The enterprise strategic work engine for tracking large initiatives, managing dependencies, and monitoring delivery against your priorities",,,7395270,Strategy Collection,,
team26,14263385,Amazon Web Services,Amazon Web Services,,,,exhibitors/14263385/media/amazon-web-services.webp,,"Since 2006, Amazon Web Services has been the world’s most comprehensive and broadly adopted cloud. AWS has been continually expanding its services to support virtually any workload, and it now has more than 240 fully featured services for compute, storage, databases, networking, analytics, machine learning and artificial intelligence (AI), Internet of Things (IoT), mobile, security, hybrid, media, and application development, deployment, and management from 120 Availability Zones within 38 Geographic Regions, with announced plans for 10 more Availability Zones and 3 more AWS Regions in the Kingdom of Saudi Arabia, Chile, and the AWS European Sovereign Cloud. Millions of customers—including the fastest-growing startups, largest enterprises, and leading government agencies—trust AWS to power their infrastructure, become more agile, and lower costs. To learn more about AWS, visit aws.amazon.com.",,,7483738,329,10701752,Strategic
team26,14218824,Analytics and Secoda,analytics-and-secoda,,,,,,"No more dead-end dashboards. Eliminate data bottlenecks and transform decision-making with self-service AI-Analytics for every member of your team, built on a foundation of governance, metadata, lineage, and documentation to power context-aware outputs.",,,7517333,Atlassian Platform,,
